Class,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,0.167775104,0.179862819,1.031888914,3.081992149,4.264347859,1.044059
1,0.098323183,0.025873786,1.052974515,2.69448054,1.12444685,1.397085172
1,0.074060603,0.121795029,0.889529338,3.125186419,0.594683738,0.882809008
1,0.094523781,-0.040470348,0.832708702,2.189756671,0.911491889,0.846207395
1,0.015676554,0.114850991,0.868529251,1.382138694,0.020171562,0.744468662
1,0.118317129,-0.153199219,0.895461848,1.585011967,0.339179153,2.786555227
1,0.101010286,0.0267298,0.832910845,1.115189015,-0.344436618,1.633469863
1,0.099172636,-0.070489083,1.220770385,1.438667124,0.5460591,1.258897788
1,0.016341827,0.021603795,1.037056366,1.455278772,0.141695405,0.126684321
1,-0.265241664,-0.120011165,0.951681532,1.623024673,-0.640519276,0.060324984
1,-0.068792089,-0.115895182,1.000085993,0.591194109,-0.581489624,0.498027358
1,-0.025973065,0.058088528,0.984080819,0.211458994,0.195271715,1.094185542
1,0.106505137,-0.063812308,0.992508075,0.34097568,-0.696178614,2.762135221
1,0.160515196,0.02572426,1.023062692,0.688503817,0.496357743,1.604991177
1,-0.186195698,0.041219318,1.035413515,0.477071245,2.102786612,-0.014912565
1,0.060915546,0.109192649,1.117379415,2.735868707,-0.568850704,-0.099200235
1,-0.040789793,0.082225638,1.221660324,2.901376496,-0.4121738,-0.268698475
1,-0.149533668,-0.026465501,1.229056112,0.86277859,2.439842391,0.123784918
1,-0.173664989,-0.021632267,1.008746327,0.609324583,0.68792794,0.526794927
1,0.101984435,0.07247167,0.90295929,1.462669813,1.044820662,0.136455057
1,0.083891826,-0.098186933,1.068565367,2.252222275,0.222701488,0.27648868
1,-0.169921302,0.09853385,0.901633487,1.846914543,0.769488345,0.163902344
1,0.026367501,-0.222098028,0.935036369,2.147246259,0.086271465,0.256728278
1,0.136866923,-0.024923006,1.123067928,1.862016277,0.264008681,0.366011645
1,-0.17418998,-0.045867313,1.002664026,-0.607961142,-2.560285522,0.259510087
1,-0.181625764,0.074792966,0.86239518,1.436912172,-0.632628154,0.149033504
1,-0.062687268,-0.02478746,1.148134669,1.681270715,0.262161456,0.549098879
1,-0.102345475,0.039923,1.070616815,2.181390967,0.525488751,-0.000330432
1,0.057479467,-0.041460662,0.991867731,1.604294993,0.361757713,0.134490486
1,0.184989275,-0.037660443,1.072154918,1.377315973,-0.029243209,0.151708518
1,0.051879593,-0.108828358,1.081442516,2.177258282,-5.61400472,0.699732176
1,0.022357091,-0.083731195,1.00061061,0.559097258,0.98787331,1.206106995
1,-0.139690981,-0.043382433,0.89797218,1.959244508,0.87676954,4.70005932
1,0.118385593,-0.053037607,1.055836151,-0.552039506,-1.443238388,-2.910573463
1,0.01462997,0.018881468,0.892849534,2.384559354,-1.210162535,0.060585552
1,-0.066168399,0.08419902,0.852904953,3.561035608,-1.529922949,-0.542794663
1,0.125749113,-0.039719927,1.041308165,3.791874813,1.657142705,-1.014424193
1,-0.146080264,-0.074736049,0.984948085,2.144092767,1.701936118,-1.426336918
1,-0.061403258,0.04802892,0.943550321,2.566687901,1.136404534,-0.198248116
1,0.135063429,-0.027697404,0.980301333,2.929837349,0.445745851,0.791548679
1,-0.032048618,0.039953776,0.894073536,2.497940519,2.130041895,-0.133327938
1,0.117029957,0.01778893,1.128746872,-1.928078336,3.390165061,6.821896191
1,-0.208584706,-0.060931823,0.83306435,1.31211307,3.793999509,9.345219356
1,-0.058457661,-0.017893942,0.994642221,-2.68448391,0.957577125,2.150547328
1,0.074122391,-0.104782771,1.28071853,-0.719520261,1.941099383,1.999787587
1,0.05821804,0.049466272,1.054798102,-1.564624385,-2.79513031,4.779375255
1,-0.052171157,-0.00141844,1.086577494,-2.638360293,-6.421910336,-3.991216026
1,0.038662948,-0.003056788,1.102891913,0.732896745,-5.729039248,-8.977235857
1,-0.210986372,0.032812356,0.859692129,2.885160246,-3.326366431,0.264483786
1,-0.134716184,-0.0899146,0.968491726,3.359909268,-0.948758793,1.267524929
1,-0.168955206,0.042508171,0.861303115,2.854629144,-1.771420815,7.154210945
1,-0.043010543,-0.004990359,0.940097094,-1.291197675,8.751113675,-1.804333541
1,0.054318812,0.155620213,1.105665337,-2.664559877,6.007777626,16.08584003
1,0.136236237,-0.02754985,0.963842746,3.829626072,3.403607566,15.97534813
1,0.146771137,0.027403734,0.882089568,2.250416583,3.885100697,-3.305473268
1,-0.051700925,0.257381729,0.980710874,3.442480365,-0.811212442,11.79107762
1,0.022055693,0.0741698,1.073788116,2.719184969,1.778093903,1.534517749
1,0.190159227,-0.024178819,1.019573233,7.289283877,-1.793608735,2.962905298
1,0.059289655,-0.006816439,1.132969154,2.615776303,0.771851438,0.02333983
